ID,Lat,Lon,h,FA
393,25.78325,30.65845,101.7,3.42287
394,25.78132,32.76151,77.86,-13.89154
395,25.87306,25.52676,341.44,-27.51144
396,25.86808,26.95318,304.06,-32.94871
397,25.86573,27.29223,358.86,-30.63759
398,25.90367,27.64464,276.82,-30.69956
399,25.88544,28.29928,162.07,-33.32463
400,25.86952,28.35384,145.81,-29.38762
401,25.90017,28.46384,119.54,-36.26265
402,25.88264,28.52037,105.7,-40.63837
403,25.87102,29.3976,409.53,2.79892
404,25.85964,30.65905,132.69,4.11055
405,25.90035,30.66753,139.16,3.36015
406,25.86642,32.78341,76.38,-13.57811
407,25.98202,25.51687,331.79,-26.82236
408,25.97252,26.9214,350.83,-33.63702
409,25.9454,27.27486,336.11,-34.38683
410,25.93832,27.63341,278.22,-31.13759
411,25.97974,27.99155,217.65,-21.13762
412,25.93854,28.0708,199.04,-25.76315
413,25.92282,28.12858,188.95,-26.88805
414,25.92692,28.19407,180.79,-28.13808
415,25.97947,28.74451,339.57,-28.63784
416,25.93059,28.77074,405.54,-20.63862
417,25.9623,29.33321,365.36,-9.76401
418,25.93837,30.69752,314.15,17.36061
419,25.94855,32.77487,74.66,-16.70296
420,26.02161,25.5116,328.54,-24.19797
421,26.02468,26.90531,365.67,-31.57351
423,26.07681,27.23792,290.79,-34.82383
424,26.03779,27.25134,302.47,-37.57426
425,26.04261,27.60111,276.62,-38.07402
426,26.07026,27.8824,238.24,-12.0123
427,26.02903,27.92075,240.26,-16.26263
428,26.04309,28.70757,298.89,-32.26257
429,26.05557,29.2718,292.29,-29.57534
430,26.03788,30.72334,325.88,16.42365
431,26.05964,32.23757,68.51,-14.82752
432,26.06811,32.28068,69.72,-5.95257
433,26.0388,32.7958,73.62,-7.95299
434,26.11985,25.48994,312.81,-17.88512
435,26.13072,26.8819,345.8,-31.07377
437,26.12858,27.22029,316.04,-28.94891
438,26.14691,27.56876,264.16,-35.07415
439,26.09476,27.58493,218.62,-42.19897
440,26.15227,27.80392,217.2,-9.94941
441,26.10944,27.84144,224.74,-11.1994
442,26.13766,28.64966,234.16,-33.07441
443,26.08999,28.67809,255.41,-32.7625
444,26.10257,29.24172,285.81,-31.76315
445,26.11353,30.70394,324.9,22.79934
446,26.16536,32.06332,69.44,-16.4525
447,26.1191,32.11728,70.19,-19.07693
448,26.10499,32.21121,69.62,-9.26488
449,26.0855,32.37181,70.76,-7.95218
450,26.12388,32.46073,71.65,-8.70261
451,26.13738,32.55938,72.12,-15.26592
452,26.15784,32.70503,72.66,-9.9523
453,26.09102,32.77592,73.36,-1.51542
454,26.23439,25.46414,298.31,-25.57213
455,26.18349,26.86845,338.07,-30.13629
456,26.21713,27.03396,310.62,-6.76107
457,26.21724,27.18338,305.1,-27.5117
458,26.199,27.55235,266.6,-32.26161
459,26.19694,27.76965,213.57,-12.63724
460,26.18533,28.62123,222.61,-32.26244
461,26.2435,29.1514,213.81,-34.01277
462,26.19654,29.18154,206.1,-40.32476
463,26.19178,30.71435,326.29,25.42373
464,26.22315,31.9957,67.85,-16.13954
465,26.17585,32.0103,68.08,-17.20168
466,26.18492,32.65742,72.55,-17.82772
467,26.27422,25.45459,309.54,-25.51021
469,26.31888,26.99167,314.31,-2.44791
471,26.30623,27.14743,299.53,-24.01159
472,26.25517,27.16732,299.31,-27.26162
473,26.31983,27.51151,255.3,-30.88637
474,26.30404,27.7475,221.18,-14.44869
475,26.28071,28.5644,194.85,-29.76261
476,26.32739,29.07542,245.19,-25.44933
477,26.28616,29.11444,227.79,-29.01232
478,26.29869,30.71942,285.82,16.36091
479,26.31068,31.90302,67.17,-4.26456
480,26.27001,31.95286,67.71,-8.63935
481,26.38172,25.43767,282.09,-19.50929
482,26.39085,26.79996,297.99,-20.07255
483,26.3696,26.97058,314.49,-2.69826
484,26.3576,27.12844,292.22,-23.82325
485,26.37144,27.49375,294.21,-30.94801
486,26.40721,27.73228,187.77,-18.19794
487,26.35881,27.75917,231.27,-14.44804
488,26.37787,28.51144,179.61,-29.88648
489,26.36788,29.03533,227.06,-24.82396
490,26.34203,30.72893,274.1,14.54945
491,26.37537,30.75565,281.07,15.61148
492,26.37177,31.79729,65.08,-21.63951
493,26.46241,25.42537,285.01,-19.94637
494,26.44321,26.7846,317.15,-20.88557
495,26.47075,26.92767,298.04,-4.8228
496,26.46061,27.08919,303.1,-19.76108
497,26.47596,27.46184,225.31,-33.76065
498,26.4549,27.70212,156.36,-19.82298
499,26.47464,28.45748,166.33,-31.94869
500,26.45955,28.97147,200.61,-22.82426
501,26.45522,30.78757,277,16.48694
502,26.45392,31.74351,63.57,-24.7642
504,26.55697,25.41606,256.42,-28.75871
505,26.54786,26.75357,274.82,-22.94697
506,26.57277,26.88721,267.95,-1.63557
507,26.56426,27.05499,261.62,-19.51074
508,26.52831,27.44635,187.94,-37.13538
509,26.50304,27.72724,154.42,-18.13641
510,26.51022,27.78089,188.79,-18.57298
511,26.55063,27.86228,184.22,-15.57345
512,26.57159,28.40432,190.12,-31.88605
513,26.52302,28.43049,156.63,-33.26183
514,26.55316,28.91035,181.17,-30.38707
515,26.50645,28.94113,202.97,-24.26142
516,26.53321,30.79265,290.6,17.9247
517,26.54197,31.69602,62.82,-32.70126
518,26.65112,25.40417,241.89,-39.75855
519,26.65079,26.71647,269.62,-12.69649
520,26.62396,26.86728,275.82,3.30289
522,26.63345,27.41786,261.47,-24.57206
523,26.64235,27.82144,144.24,-19.82247
524,26.59805,27.85346,159.56,-19.01063
525,26.62103,28.3798,168.98,-38.51091
526,26.59952,28.87865,171.77,-32.88626
527,26.64306,30.81638,291.56,12.98753
528,26.63044,31.63178,61.49,-35.20053
529,26.70477,25.39613,244.88,-40.69545
530,26.70228,26.69799,260.04,-12.57178
531,26.72694,26.83041,255.56,6.24029
532,26.67504,26.84727,279.79,6.17785
533,26.70935,27.01653,260.59,-15.94664
534,26.7381,27.38935,261.97,-21.13532
535,26.69329,27.79998,116.75,-21.63521
536,26.72068,28.33267,132.99,-44.19741
537,26.69223,28.81519,157.08,-33.69845
538,26.67694,30.82898,292.51,8.9876
539,26.71191,30.83676,294.37,6.86265
540,26.72331,31.56978,60.06,-28.82572
541,26.678,31.61295,60.41,-31.20045
542,26.79824,25.37916,243.34,-40.25812
543,26.8067,26.66595,253.85,-7.69683
544,26.77976,26.81715,243.72,7.48989
545,26.8154,26.99153,271.68,-15.00929
546,26.76216,27.00273,246.58,-16.88471
547,26.79093,27.3744,245.49,-19.94657
548,26.78844,27.81765,101.11,-22.19706
549,26.77053,28.30912,116.45,-43.38529
550,26.78703,28.75641,166.71,-33.5728
551,26.7842,30.87568,284.21,6.55078
552,26.80041,31.51465,60.31,-13.95033
553,26.89167,25.3617,226.17,-47.88343
554,26.85943,26.6522,244.26,-7.38441
555,26.8863,26.7933,250.77,16.86521
556,26.86909,26.98294,258.53,-13.50964
557,26.89578,27.34456,214.65,-15.63468
558,26.9014,27.87768,88.84,-25.32195
559,26.87023,28.26205,104.93,-34.88588
560,26.88155,28.69608,137.8,-37.82239
561,26.85172,30.90609,243.71,5.42512
562,26.89147,30.92963,252.94,6.05066
563,26.88882,31.44389,58.2,-10.63813
564,26.94515,25.3524,21.54,-50.88286
565,26.96437,26.62193,223.8,-15.75866
566,26.93977,26.78398,235.83,14.55334
567,26.96263,26.96558,237.64,-11.07141
568,26.94798,27.32967,233.76,-11.75991
569,26.94929,27.90503,88.48,-24.635
570,26.99769,27.93054,91.07,-19.75988
571,26.96993,28.21495,89.57,-32.63484
572,26.96019,28.64529,195.42,-29.07251
573,26.96557,30.95084,236.62,6.86299
574,26.98217,31.36901,57.09,-20.57442
575,27.05095,25.33026,199.77,-62.44464
576,27.04806,26.59762,225.66,-28.5085
577,27.07018,26.74452,226.37,3.05457
578,27.01963,26.76291,185.15,4.4318
579,27.05175,26.943,192.52,-15.69624
580,27.00006,27.31484,212.83,-12.32127
581,27.06415,27.96637,69.66,-18.50927
582,27.01908,28.1921,89.08,-32.63522
583,27.00718,28.61568,175.83,-26.57253
585,27.06671,31.30598,56.37,-27.38744
586,27.1437,25.30782,178.14,-61.44426
587,27.15265,26.57041,194.58,-40.00846
588,27.09993,26.5842,206.4,-36.57059
589,27.12054,26.7223,203.39,-3.2591
590,27.13061,26.92126,219.86,-11.44533
591,27.11408,28.54088,107.09,-26.75989
593,27.1508,31.22116,55.09,-26.82393
594,27.1077,31.29601,55.99,-30.38737
595,27.1967,25.29478,185.32,-54.50702
596,27.20538,26.5566,190.85,-36.82062
597,27.22201,26.68021,189.05,-14.94563
598,27.22197,26.8939,217.16,-19.57069
599,27.17562,28.03685,49.24,-19.50957
600,27.23014,28.13203,37.2,-15.32135
601,27.24412,28.21026,37.14,-9.88429
602,27.20312,28.4721,78.36,-23.88444
603,27.18449,31.12596,53.86,-25.19855
604,27.19265,31.1729,55.72,-24.57438
606,27.30268,25.26887,180.6,-45.81902
607,27.30664,26.51411,211.39,-33.44503
608,27.27395,26.6627,199.13,-16.57025
609,27.2741,26.87719,203.58,-25.9453
610,27.29047,28.23085,22.62,-12.25971
611,27.29384,28.40599,96.17,-20.63472
612,27.30375,30.96396,53.15,-28.69813
613,27.26152,31.01739,52.88,-22.94899
614,27.40864,25.24292,171.56,-49.38152
615,27.35567,25.25589,173.92,-46.44377
616,27.40533,26.46418,183.71,-33.31952
617,27.37954,26.63579,185.08,-17.69484
618,27.36601,26.85124,173.5,-26.13293
619,27.38765,28.22418,29.16,-11.57161
620,27.38476,28.34019,73.79,-18.69578
621,27.40071,30.87343,50.05,-20.38649
622,27.35192,30.91998,50.66,-25.63591
623,27.46165,25.22993,167.58,-50.50644
624,27.45518,26.44048,146.85,-33.25771
625,27.43175,26.6203,161.09,-17.57016
626,27.45569,26.81714,160.42,-23.00817
627,27.43485,28.23601,42.81,-12.94589
628,27.4826,28.28742,199.54,-11.50897
629,27.48583,30.81131,48.69,-19.76128
630,27.55436,25.20714,159.67,-51.88126
631,27.55545,26.395,166.17,-23.13207
632,27.50471,26.41599,204.85,-25.56914
634,27.54537,26.78298,150.91,-25.82006
636,27.54876,28.29519,214.87,-5.13371
637,27.53149,30.80495,48.14,-16.44805
638,27.60733,25.19411,167.19,-52.81862
639,27.60618,26.374,153.89,-21.69391
640,27.64784,26.74387,149.28,-27.81882
641,27.5966,26.76344,147.28,-27.38277
643,27.6071,28.35875,211.58,-12.63407
644,27.65915,28.42436,213.87,-7.88313
645,27.62304,30.84299,49.24,-10.32217
646,27.71385,25.17163,166.14,-50.13115
647,27.74013,26.31389,141.75,-30.13162
648,27.69039,26.33794,163.88,-23.6315
649,27.71251,26.71916,150.73,-25.19377
650,27.71439,28.13075,195.41,-39.50801
651,27.69573,28.46662,199.01,-5.6953
652,27.74054,28.50026,212.56,-5.75888
653,27.71203,30.85746,45.68,-7.82219
654,27.8187,25.14103,160,-56.44218
655,27.78984,26.28979,150.53,-30.13179
656,27.80641,28.06662,200.04,-31.44481
657,27.76044,28.09876,207.14,-35.57024
658,27.78551,28.53097,157.25,-8.50875
659,27.80067,30.80681,44.46,-9.01041
660,27.75668,30.84158,45.91,-5.82238
661,27.86974,25.12918,155.57,-55.94216
662,27.87076,26.24537,156.98,-31.94302
663,27.83765,26.26147,158.81,-31.00661
664,27.85234,28.03438,208.13,-24.00811
665,27.83464,28.56231,142.07,-7.32055
666,27.88445,28.58971,147.25,-3.75768
667,27.89533,30.80634,43.31,-16.44713
668,27.96318,25.10012,150.42,-35.2549
669,27.97281,26.20496,123.53,-33.63144
670,27.99366,27.91379,183.26,-23.44395
671,27.94154,27.9461,194.95,-19.25716
672,27.93923,28.60456,157.2,-1.50812
673,27.93596,30.81988,42.93,-19.947
674,28.02781,25.07771,141.72,-22.87986
675,28.02407,26.1859,123.27,-28.69326
676,28.03987,27.8767,197.22,-24.81893
677,28.02283,30.80194,42.18,-26.01005
678,28.13072,25.03978,147.62,-28.00454
679,28.108,26.14994,136.2,-24.31804
680,28.13933,27.78915,196.63,-21.50703
681,28.11486,30.74203,41,-15.38405
682,28.18212,25.01913,144.17,-30.31626
683,28.23006,26.06306,110.16,-32.44202
684,28.18377,26.09452,142.69,-29.63001
685,28.19616,27.73894,199.69,-20.56911
686,28.20046,30.72339,40.61,-4.9462
687,28.27552,25.00139,124.94,-26.56646
688,28.31752,25.99216,126.1,-33.06691
689,28.27431,26.0286,125.02,-31.44191
690,28.29569,27.65109,198.64,-24.81822
691,28.35838,25.95213,110.69,-34.81703
692,28.395,27.56286,184.83,-39.06778
693,28.35251,27.60078,186.61,-33.69319
694,28.3355,30.70835,39.89,-7.07046
695,28.37367,30.7562,38.84,-2.32051
696,28.47448,27.49227,129.74,-46.13046
697,28.43758,27.52506,165.29,-43.25544
698,28.46435,30.81286,37.5,-2.4453
699,28.49991,32.96514,11.9,-30.44687
700,28.62759,30.82116,35.98,5.30443
701,28.70649,30.85327,34.83,10.05526
702,28.8092,30.89041,33.68,20.2419
703,28.89476,30.93369,32.8,6.93054
705,28.94268,30.98669,31.98,-2.38292
706,28.99736,31.0087,31.39,-0.81923
707,29.0412,31.04027,30.89,-2.50733
708,29.13513,31.12817,29.76,3.61812
709,29.13323,31.99847,136.2,17.1168
710,29.18413,31.15722,29.32,8.55624
711,29.23109,31.18362,28.55,10.11811
712,29.27015,31.18796,28.12,8.36804
713,29.35502,31.19795,27.28,2.11877
714,29.44956,31.20298,25.84,7.74354
715,29.53953,31.24835,24.47,3.74375
716,29.52359,31.25413,24.02,6.68205
717,29.71028,31.256,23.49,8.30676
718,29.82987,30.60848,201.2,9.55791
719,29.84488,31.29701,23.39,-0.56741
720,30.04988,31.73179,232.9,29.2441
721,30.29987,30.74847,72.91,-57.37874
722,30.36653,30.54847,65.54,-62.879
723,30.99985,29.61847,2.9,7.68677
724,31.07985,29.72846,1.6,7.62371
725,25.22666,29.88615,173.29,0.21566
726,25.23073,29.94205,185.73,1.81152
727,25.22371,30.00112,199.46,3.89721
728,25.26497,30.10373,201.54,6.63627
729,25.28912,30.15704,203.39,7.10373
730,25.31585,30.20852,185.8,-1.06926
731,25.33409,30.2637,190.21,-1.30124
732,25.35093,30.31585,174.05,-8.56414
733,25.37055,30.36464,133.45,-10.49376
734,25.38057,30.2998,132.24,-8.79803
735,25.39556,30.45566,123.79,-7.97384
736,25.40338,30.49425,86.99,-9.09683
738,29.8297,31.29533,23.44,-1.86788
740,29.79738,31.27546,22.5,-6.8391
741,29.77887,31.26455,23.49,-2.8925
742,29.84855,31.26101,23.46,-8.23067
743,29.73593,31.25596,23.9,2.20587
744,29.67579,31.27193,24.02,6.45803
745,29.65197,31.27011,24.32,6.64094
746,29.63647,31.2617,24.73,5.97137
747,29.61699,31.24998,24.2,6.27904
748,29.59859,31.24787,23.99,4.35228
749,29.48618,31.22542,25.75,7.48466
750,29.42225,31.1862,26.53,8.69903
751,29.37761,31.19354,26.77,3.56124
752,29.32197,31.18922,27.73,2.30031
753,29.25952,31.18972,28.6,10.64187
754,29.16228,31.14388,29.48,7.53401
755,29.11835,31.11874,29.69,1.08323
756,29.07784,31.0927,31.1,-1.6932
757,29.0294,31.03135,31.02,-2.48408
758,28.96776,30.99448,31.62,0.89143
759,28.91739,30.96832,31.98,2.27477
760,28.87441,30.91706,33.09,14.24152
761,28.82331,30.89896,33.59,20.0459
762,28.79107,30.88229,34.17,19.36301
763,28.7415,30.86125,34.46,13.44916
764,28.68805,30.84945,34.84,8.85354
765,28.64398,30.82925,35.57,5.93882
766,28.53156,30.79949,37.01,1.51328
767,28.43823,30.79813,37.62,-2.67291
768,28.39657,30.77106,38.08,-5.34249
769,28.35717,30.74502,38.93,-5.89479
770,28.31269,30.70932,39.35,-6.4094
771,28.26542,30.72668,39.9,-1.05783
772,28.17406,30.72263,40.43,-10.01047
773,28.13247,30.73547,40.99,-13.91342
774,28.13942,30.73291,40.95,-13.44733
775,28.08629,30.75421,42.21,-17.2911
776,28.04257,30.79002,41.89,-24.39222
777,27.96716,30.82921,42.68,-23.90301
778,27.91361,30.81232,43.18,-17.6058
779,27.86745,30.79717,43.71,-14.79675
780,27.82304,30.79745,44.33,-11.91317
781,27.7933,30.83872,45.03,-5.54151
782,27.68284,30.86545,46.99,-8.75954
783,27.65629,30.85839,48.56,-11.79354
784,27.5992,30.82908,49.07,-10.66105
785,27.45953,30.81937,49.11,-18.8719
786,27.41975,30.84979,49.92,-19.55463
787,27.3881,30.88806,50.28,-22.35825
788,27.37385,30.90062,50.34,-24.20863
789,27.33369,30.93654,50.67,-27.84795
790,27.28414,30.98941,53.82,-25.92869
791,27.2362,31.04881,53.08,-22.74213
792,27.20105,31.09827,53.09,-23.08796
793,27.18845,31.15722,53.99,-24.47522
794,27.15626,31.25104,55.64,-28.51499
795,27.08348,31.30474,56.22,-28.70406
796,27.04211,31.31229,56.11,-26.552
797,27.01278,31.34799,56.85,-24.84961
798,26.95669,31.39225,57.81,-18.76826
799,26.91553,31.41849,57.62,-15.72607
800,26.86566,31.45837,58.67,-9.11993
801,26.82238,31.49664,59.15,-11.31307
802,26.77491,31.51404,59.63,-21.80645
803,26.7335,31.55407,60.12,-28.48982
804,26.6097,31.64578,61.39,-36.29185
805,26.54669,31.70074,62.33,-32.76989
806,26.5155,31.70908,62.81,-26.39132
807,26.46906,31.73337,63.61,-24.99711
808,26.43055,31.7591,63.53,-22.24944
809,26.34936,31.82872,65.19,-18.31074
810,26.32433,31.87824,65.75,-7.68099
811,26.24457,31.98037,67.01,-14.16546
